id,round,team,opponent,home_or_away,goals,xg,posssesion,passes_completed,passes_attempted,shots,shots_on_target,shots_outside_box
1,1,Víkingur R.,Stjarnan,home,2,1.74,53.20%,362,456,17,5,4
1,1,Stjarnan,Víkingur R.,away,0,0.97,46.80%,281,386,9,3,2
2,1,Fram,Vestri,home,2,0.63,38.50%,208,288,9,4,4
2,1,Vestri,Fram,away,0,2.27,61.50%,414,501,14,2,6
3,1,KA,HK,home,1,2.47,62.80%,390,465,26,10,11
3,1,HK,KA,away,1,0.82,37.20%,195,265,6,2,4
4,1,Fylkir,KR,home,3,1.08,43.70%,206,287,8,4,2
4,1,KR,Fylkir,away,4,2.6,56.30%,296,392,17,7,7
5,1,Valur,ÍA,home,2,3.89,61.00%,547,627,23,7,8
5,1,ÍA,Valur,away,0,0.79,39.00%,267,344,6,2,3
6,1,Breiðablik,FH,home,2,1.63,55.70%,352,441,12,4,8
6,1,FH,Breiðablik,away,0,1.32,44.30%,301,383,13,5,3
7,2,Stjarnan,KR,home,1,1.1,52.90%,293,390,7,2,1
7,2,KR,Stjarnan,away,3,1.44,47.10%,242,311,19,7,13
8,2,Breiðablik,Vestri,home,4,3.24,66.90%,563,646,19,9,6
8,2,Vestri,Breiðablik,away,0,0.19,33.10%,238,300,1,0,0
9,2,KA,FH,home,2,2.15,54.80%,313,400,13,6,4
9,2,FH,KA,away,3,2.25,45.20%,258,329,14,6,8
10,2,HK,ÍA,home,0,0.81,34.60%,212,272,7,4,2
10,2,ÍA,HK,away,4,1.75,65.40%,533,623,21,12,8
11,2,Fylkir,Valur,home,0,1.56,37.00%,201,269,10,3,3
11,2,Valur,Fylkir,away,0,1.58,63.00%,426,527,16,7,6
12,2,Fram,Víkingur R.,home,0,0.53,33.70%,217,296,8,4,3
12,2,Víkingur R.,Fram,away,1,0.29,66.30%,450,538,4,1,1
13,3,Stjarnan,Valur,home,1,1.24,58.50%,343,402,12,4,4
13,3,Valur,Stjarnan,away,0,1.11,41.50%,251,325,12,3,6
14,3,HK,FH,home,0,0.46,46.80%,233,321,4,3,1
14,3,FH,HK,away,2,1.35,53.20%,303,394,16,4,6
15,3,KR,Fram,home,0,0.62,61.80%,364,460,9,1,5
15,3,Fram,KR,away,1,1.23,38.20%,184,268,10,2,4
16,3,KA,Vestri,home,0,0.86,56.30%,381,458,8,3,4
16,3,Vestri,KA,away,1,0.63,43.70%,251,327,11,5,6
17,3,ÍA,Fylkir,home,5,3.17,46.00%,326,412,18,9,7
17,3,Fylkir,ÍA,away,1,1.12,54.00%,345,423,14,5,8
18,3,Víkingur R.,Breiðablik,home,4,1.39,53.00%,349,402,19,6,11
18,3,Breiðablik,Víkingur R.,away,1,1.16,47.00%,294,358,12,7,5
19,4,Vestri,HK,home,1,1.52,50.80%,325,390,15,5,8
19,4,HK,Vestri,away,0,1.77,49.20%,280,366,14,2,5
20,4,ÍA,FH,home,1,0.72,55.30%,380,470,9,5,2
20,4,FH,ÍA,away,2,1.34,44.70%,273,365,13,6,7
21,4,Víkingur R.,KA,home,4,2.75,59.50%,410,474,16,10,6
21,4,KA,Víkingur R.,away,2,1.11,40.50%,252,329,8,4,4
22,4,KR,Breiðablik,home,2,1.93,52.50%,183,291,14,5,6
22,4,Breiðablik,KR,away,3,4.11,47.50%,168,263,18,6,3
23,4,Valur,Fram,home,1,1.33,50.00%,363,429,17,2,8
23,4,Fram,Valur,away,1,0.72,5.00%,341,412,10,3,5
24,4,Fylkir,Stjarnan,home,0,0.96,44.70%,226,306,14,5,9
24,4,Stjarnan,Fylkir,away,1,0.8,55.30%,378,470,10,3,5
25,5,FH,Vestri,home,3,2.73,49.30%,224,307,12,5,2
25,5,Vestri,FH,away,2,1.26,50.70%,226,295,7,2,1
26,5,KA,KR,home,1,2.25,54.60%,330,409,13,3,1
26,5,KR,KA,away,1,1.26,45.40%,231,313,14,6,9
27,5,Stjarnan,ÍA,home,4,2.65,61.40%,454,538,19,9,4
27,5,ÍA,Stjarnan,away,1,1.05,38.60%,274,348,14,4,7
28,5,HK,Víkingur R.,home,3,0.39,29.10%,160,227,5,4,3
28,5,Víkingur R.,HK,away,1,1.81,70.90%,438,534,18,4,8
29,5,Fram,Fylkir,home,2,1.49,41.90%,290,362,10,7,2
29,5,Fylkir,Fram,away,1,0.53,58.10%,423,479,7,3,1
30,5,Breiðablik,Valur,home,2,2.07,57.80%,385,469,19,6,6
30,5,Valur,Breiðablik,away,3,1.87,42.20%,257,316,21,6,7
31,6,Stjarnan,Fram,home,1,1.78,64.00%,502,584,17,5,8
31,6,Fram,Stjarnan,away,1,1.93,36.00%,246,324,11,2,4
32,6,ÍA,Vestri,home,3,4.07,44.30%,305,391,14,8,3
32,6,Vestri,ÍA,away,0,0.93,55.70%,293,387,12,2,6
33,6,Valur,KA,home,3,3.06,52.40%,308,387,19,6,7
33,6,KA,Valur,away,1,2.35,47.60%,250,328,17,5,5
34,6,KR,HK,home,1,1.56,60.70%,384,492,18,6,10
34,6,HK,KR,away,2,1.93,39.30%,148,252,9,6,4
35,6,Fylkir,Breiðablik,home,0,0.91,46.30%,315,377,17,6,9
35,6,Breiðablik,Fylkir,away,3,2.33,53.70%,423,497,13,4,0
36,6,Víkingur R.,FH,home,2,1.37,56.60%,309,380,9,4,0
36,6,FH,Víkingur R.,away,0,0.54,43.40%,223,311,8,4,2
37,7,Vestri,Víkingur R.,home,1,0.38,40.30%,368,434,3,1,0
37,7,Víkingur R.,Vestri,away,4,2.14,59.70%,595,655,18,7,5
38,7,KA,Fylkir,home,4,2.65,45.90%,251,323,14,6,2
38,7,Fylkir,KA,away,2,2.49,54.10%,351,420,24,11,12
39,7,FH,KR,home,1,1.54,52.20%,252,353,16,6,5
39,7,KR,FH,away,2,1.77,47.80%,197,293,14,3,6
40,7,Fram,ÍA,home,1,1.79,42.30%,349,412,15,5,4
40,7,ÍA,Fram,away,1,1.21,57.70%,509,572,16,5,5
41,7,HK,Valur,home,1,0.97,37.50%,228,306,10,3,5
41,7,Valur,HK,away,2,3.08,62.50%,501,592,29,11,12
42,7,Breiðablik,Stjarnan,home,2,2.21,43.70%,260,326,15,7,6
42,7,Stjarnan,Breiðablik,away,1,1.79,56.30%,352,424,17,8,7
43,8,KR,Vestri,home,2,2.1,57.50%,326,428,14,8,5
43,8,Vestri,KR,away,2,1.74,42.50%,198,289,10,4,4
44,8,ÍA,Víkingur R.,home,0,,,,,,,
44,8,Víkingur R.,ÍA,away,1,,,,,,,
45,8,Valur,FH,home,2,,,,,,,
45,8,FH,Valur,away,2,,,,,,,
46,8,Fram,Breiðablik,home,1,1.2,38.30%,267,350,9,3,2
46,8,Breiðablik,Fram,away,4,3,61.70%,524,608,20,7,4
47,8,Stjarnan,KA,home,5,2.78,52.90%,347,411,15,10,3
47,8,KA,Stjarnan,away,0,1.05,47.10%,283,361,18,3,10
48,8,Fylkir,HK,home,3,2.06,46.70%,279,359,19,9,6
48,8,HK,Fylkir,away,1,1.43,53.30%,284,364,10,4,4
49,9,FH,Fram,home,3,1.64,53.90%,320,427,13,6,5
49,9,Fram,FH,away,3,0.93,46.10%,241,348,8,3,2
50,9,KA,ÍA,home,2,1.55,58.40%,369,454,14,6,9
50,9,ÍA,KA,away,3,1.89,41.60%,212,285,9,4,4
51,9,Vestri,Stjarnan,home,4,0.8,45.50%,264,349,9,6,5
51,9,Stjarnan,Vestri,away,2,0.84,54.50%,373,459,12,6,7
52,9,Víkingur R.,Fylkir,home,5,3.12,52.80%,387,481,14,10,4
52,9,Fylkir,Víkingur R.,away,2,1.46,47.20%,317,401,9,4,3
53,9,HK,Breiðablik,home,0,0.35,46.40%,249,346,7,3,6
53,9,Breiðablik,HK,away,2,2.65,53.60%,385,477,19,8,6
54,9,KR,Valur,home,3,1.05,52.60%,291,393,18,7,11
54,9,Valur,KR,away,3,3.43,47.40%,212,289,23,9,7